iter	RMSE
132	0.3616217127
133	0.3614663319
134	0.3614313377
135	0.3613865528
136	0.3612730922
137	0.3612692361
138	0.3612643116
139	0.3611396741
140	0.3610803876
141	0.3610750461
142	0.3609778447
143	0.3609603225
144	0.3609515301
145	0.3608607493
146	0.3608563146
147	0.3607828067
148	0.360751193
149	0.3607048606
150	0.3606768047
151	0.3606666762
152	0.3606442601
153	0.3606335897
154	0.3604564536
155	0.3604152806
156	0.3603659484
157	0.3601866786
158	0.3601575285
159	0.3600608545
160	0.3600500964
161	0.3600429099
162	0.3600157375
163	0.3599102164
164	0.3599083733
165	0.359905425
166	0.3597930863
167	0.3597770235
168	0.3596203533
169	0.3596136944
170	0.3596079795
171	0.3595887447
172	0.3595690833
173	0.3594854842
174	0.3594636854
175	0.3593853045
176	0.3593186949
177	0.3591646267
178	0.3591088834
179	0.3591039159
180	0.3590997107
181	0.3589720223
182	0.3588987603
183	0.3587893663
184	0.3586864746
185	0.3586019175
186	0.3585171147
187	0.3584877288
188	0.3584822851
189	0.3583814479
190	0.3583246877
191	0.3582846209
192	0.3582184811
193	0.3581446078
194	0.3581407786
195	0.3580563198
196	0.3579954784
197	0.3579379695
198	0.3579026698
199	0.3578871091
200	0.3578770803
201	0.3578241202
202	0.3577784381
203	0.3577647762
204	0.3577207306
205	0.3576820868
206	0.3576722797
207	0.3576377267
208	0.3576160781
209	0.3575914426
210	0.3575633974
211	0.3575614158
212	0.3575233463
213	0.3575093548
214	0.3574868412
215	0.3574246611
216	0.3573933485
217	0.3573676619
218	0.3573137489
219	0.3572881424
220	0.357273618
221	0.357271315
222	0.3572651721
223	0.3572453211
224	0.3572010789
225	0.3571695361
226	0.3571371942
227	0.3570962628
228	0.3570845086
229	0.3570611556
230	0.3570547819
231	0.3570300501
232	0.3570251554
233	0.3570197853
234	0.3570139905
235	0.3569757889
236	0.3569186949
237	0.3568717397
238	0.3568184445
239	0.3568020941
240	0.3567848921
241	0.356753119
242	0.3567263135
243	0.3566570537
244	0.3566358134
245	0.3566317962
246	0.3565980169
247	0.3565646122
248	0.3565558427
249	0.3565479704
250	0.3565432265
251	0.3565187523
252	0.3564994685
253	0.3564528853
254	0.3564454967
255	0.3564180388
256	0.3563731833
257	0.3563157639
258	0.3562687719
259	0.3562538166
260	0.3562499706
261	0.3562458342
262	0.356202158
263	0.3561759281
264	0.3561720367
265	0.3561180886
266	0.3560963729
267	0.3560936305
268	0.3560901035
269	0.3560607432
270	0.3560424689
271	0.3560169731
272	0.3560018095
273	0.3559909863
274	0.3559877574
275	0.3559747526
276	0.3559436813
277	0.3559405414
278	0.3559144956
279	0.355910287
280	0.3559065808
281	0.355884678
282	0.3558670846
283	0.3558624911
284	0.3558163802
285	0.35578736
286	0.3557848062
287	0.3557571829
288	0.3557467702
289	0.3557435692
290	0.3557320566
291	0.3557115146
292	0.3556991406
293	0.3556767373
294	0.355654844
295	0.355645142
296	0.3556352246
297	0.3555897443
298	0.3555686411
299	0.3555652353
300	0.355553052
301	0.355549727
302	0.3555476705
303	0.3555446788
304	0.3555201918
305	0.3555172612
306	0.3555119685
307	0.3554400416
308	0.3554366353
309	0.3554064633
310	0.3553939293
311	0.3553513967
312	0.3553491331
313	0.355345781
314	0.3553211984
315	0.3552894159
316	0.3552389005
317	0.3552203718
318	0.3551796339
319	0.3551728525
320	0.3551382718
321	0.3551329447
322	0.3551259655
323	0.3551237221
324	0.355041076
325	0.3550187553
326	0.3550042997
327	0.3549265314
328	0.3549212348
329	0.3549171386
330	0.3549144429
331	0.3549048792
332	0.3548780003
333	0.3548678898
334	0.3548617011
335	0.3548469054
336	0.3548316261
337	0.354799987
338	0.3547971599
339	0.3547249436
340	0.3546687464
341	0.354668075
342	0.3546668867
343	0.3546129565
344	0.3545868215
345	0.3545840614
346	0.3545475519
347	0.3545459268
348	0.3545421119
349	0.3545402817
350	0.3545348082
351	0.354468642
352	0.3544623117
353	0.3544563389
354	0.3544092095
355	0.3544045223
356	0.354402134
357	0.3544011389
358	0.3543935999
359	0.3543876184
360	0.3543854972
361	0.3543678905
362	0.3543634999
363	0.3543417618
364	0.3543167856
365	0.3542818181
366	0.354266859
367	0.3542659219
368	0.3542236384
369	0.3542045378
370	0.3542015784
371	0.3541977256
372	0.354193102
373	0.3541603752
374	0.3541457093
375	0.3541386188
376	0.3541201002
377	0.3541185452
378	0.3541167027
379	0.354115936
380	0.3540895289
381	0.3540582961
382	0.3540569217
383	0.3540383634
384	0.3540338977
385	0.3539883915
386	0.3539446892
387	0.3539433806
388	0.3539404654
389	0.3539330516
390	0.3539327401
391	0.3539320064
392	0.3539039566
393	0.3538620407
394	0.3538544973
395	0.3538141373
396	0.3537997137
397	0.3537690718
398	0.3537582579
399	0.3537568605
400	0.3537497764
401	0.3537486273
402	0.3537435313
403	0.3537429178
404	0.3537254202
405	0.3537125899
406	0.3536802839
407	0.3536545244
408	0.3536445233
409	0.3536434728
410	0.3536388614
411	0.3536086517
412	0.3536074613
413	0.3535997305
414	0.3535972572
415	0.353592949
416	0.3535895884
417	0.3535866205
418	0.3535857266
419	0.353561758
420	0.3535414454
421	0.3535049678
422	0.3534966886
423	0.3534940221
424	0.35349316
425	0.353478715
426	0.3534435214
427	0.3534409705
428	0.3533938015
429	0.3533831994
430	0.3533691808
431	0.3533645381
432	0.3533608074
433	0.3533575452
434	0.3533547873
435	0.3533376437
436	0.3533269752
437	0.3533252366
438	0.3533234127
439	0.3532983214
440	0.3532936938
441	0.3532855548
442	0.3532830979
443	0.3532501781
444	0.353247468
445	0.3532186245
446	0.3532098851
447	0.3532004272
448	0.3531809183
449	0.3531653168
450	0.3531597283
451	0.3531585528
452	0.3531585381
453	0.3531481758
454	0.3531399947
455	0.3531327747
456	0.3531217281
457	0.353107195
458	0.3530775143
459	0.353060981
460	0.3530509914
461	0.3530478194
462	0.353044088
463	0.3530416221
464	0.3530374749
465	0.3530340316
466	0.3530334223
467	0.3530169091
468	0.3529959659
469	0.3529881985
470	0.3529731125
471	0.3529456717
472	0.3529276757
473	0.3529263821
474	0.3529249322
475	0.3529210051
476	0.3529130689
477	0.3529110917
478	0.3529081941
479	0.352870729
480	0.3528639092
481	0.3528485121
482	0.3528451317
483	0.3528418355
484	0.352838355
485	0.3528366185
486	0.3528301778
487	0.3528270984
488	0.3528103405
489	0.35280162
490	0.3527845641
491	0.3527838366
492	0.3527833221
493	0.3527794696
494	0.3527730524
495	0.3527714589
496	0.352769546
497	0.3527667989
498	0.3527661215
499	0.3527657684
500	0.3527644716
501	0.3527632674
502	0.3527563178
503	0.3527487026
504	0.3527373792
505	0.3527347054
506	0.3527317994
507	0.3527259712
508	0.3527225976
509	0.3527213978
510	0.3527208483
511	0.3527133603
512	0.3527109649
513	0.3527095627
514	0.3526960778
515	0.3526923235
516	0.3526702524
517	0.3526363525
518	0.3526358944
519	0.3526353516
520	0.3526339857
521	0.3526238436
522	0.3526183004
523	0.352613277
524	0.3526076726
525	0.3526062646
526	0.3526051138
527	0.3525956835
528	0.3525920754
529	0.3525916273
530	0.3525900323
531	0.3525885793
532	0.3525868192
533	0.3525838839
534	0.3525697394
535	0.3525526106
536	0.3525388697
537	0.3525370771
538	0.3525347188
539	0.3525341254
540	0.3525282782
541	0.3525147276
542	0.352502743
543	0.3524987666
544	0.3524912782
545	0.3524777769
546	0.3524661499
547	0.3524619034
548	0.3524608728
549	0.3524459313
550	0.3524400067
551	0.3524395977
552	0.3524306795
553	0.3524217334
554	0.3524211332
555	0.3524128574
556	0.3524080558
557	0.3524052233
558	0.352401994
559	0.3523997774
560	0.3523972276
561	0.3523965745
562	0.3523756932
563	0.3523717181
564	0.3523429778
565	0.3523322847
566	0.3523248168
567	0.352305719
568	0.3523027765
569	0.3522910135
570	0.3522853411
571	0.3522671178
572	0.3522558377
573	0.3522518901
574	0.3522484612
575	0.3522423899
576	0.3522410832
577	0.3522392616
578	0.3522326039
579	0.3522307627
580	0.3522266095
581	0.3522166904
582	0.3522130147
583	0.3521869139
584	0.3521701484
585	0.3521688538
586	0.352166923
587	0.3521638749
588	0.3521634142
589	0.3521598921
590	0.352156227
591	0.352154461
592	0.3521503279
593	0.3521411579
594	0.352139443
595	0.352137883
596	0.3521369376
597	0.3521292682
598	0.3521286803
599	0.3521219069
600	0.3521197367
601	0.3521193757
602	0.352095222
603	0.3520943161
604	0.3520932618
605	0.3520840956
606	0.3520745084
607	0.352069589
608	0.3520666303
609	0.3520654067
610	0.3520648355
611	0.3520617903
612	0.3520577884
613	0.3520537974
614	0.3520481838
615	0.352043998
616	0.3520396854
617	0.3520367707
618	0.3520319193
619	0.3520251834
620	0.3520206547
621	0.3520190221
622	0.3520126007
623	0.3520099889
624	0.352004616
625	0.3520014929
626	0.3520007941
627	0.3519780634
628	0.3519563635
629	0.3519557056
630	0.3519553911
631	0.3519486425
632	0.3519413625
633	0.3519404937
634	0.3519394365
635	0.3519310268
636	0.351917113
637	0.3519136625
638	0.3519093709
639	0.3519072882
640	0.3519020311
641	0.3518864261
642	0.3518788638
643	0.3518782685
644	0.3518755711
645	0.3518690037
646	0.3518668498
647	0.3518656061
648	0.3518619261
649	0.3518582158
650	0.3518554283
651	0.3518478484
652	0.3518447042
653	0.3518426639
654	0.3518388376
655	0.3518195636
656	0.3518179084
657	0.3518088516
658	0.3518068088
659	0.3518049782
660	0.3518029355
661	0.3518019636
662	0.3517972352
663	0.3517941115
664	0.3517927453
665	0.3517895617
666	0.3517831292
667	0.3517827475
668	0.3517704102
669	0.3517684329
670	0.3517605238
671	0.3517571872
672	0.3517511295
673	0.3517489918
674	0.3517416004
675	0.3517397627
676	0.3517340013
677	0.3517225735
678	0.3517189753
679	0.3517181755
680	0.351716559
681	0.3517157812
682	0.3517128187
683	0.3517125623
684	0.3517015612
685	0.3517011199
686	0.3516979597
687	0.3516969209
688	0.3516964674
689	0.3516946351
690	0.3516925222
691	0.3516819337
692	0.3516810106
693	0.3516736519
694	0.351670925
695	0.351664702
696	0.3516640992
697	0.3516638039
698	0.3516623861
699	0.3516583568
700	0.3516541128
701	0.3516518336
702	0.3516467169
703	0.3516457722
704	0.3516445475
705	0.3516381229
706	0.351637754
707	0.3516316311
708	0.3516267749
709	0.3516184283
710	0.3516167361
711	0.3516156064
712	0.3516138864
713	0.3516110501
714	0.3516079617
715	0.3515986285
716	0.351594357
717	0.3515888556
718	0.3515858043
719	0.3515828488
720	0.3515816628
721	0.3515787733
722	0.3515762457
723	0.3515751752
724	0.351573008
725	0.3515722774
726	0.3515577378
727	0.3515517222
728	0.3515512694
729	0.3515491365
730	0.3515462105
731	0.3515387596
732	0.3515381314
733	0.351536696
734	0.3515345095
735	0.3515339405
736	0.3515316806
737	0.3515313408
738	0.351529868
739	0.351528745
740	0.3515260729
741	0.3515205661
742	0.3515122356
743	0.3515113025
744	0.3515103768
745	0.3515081442
746	0.3515001216
747	0.3514991216
748	0.3514989727
749	0.3514912572
750	0.3514893719
751	0.3514883198
752	0.3514755249
753	0.3514746671
754	0.3514733966
755	0.3514710625
756	0.3514695007
757	0.3514622943
758	0.351461468
759	0.3514601304
760	0.3514575174
761	0.3514523617
762	0.3514451427
763	0.3514447225
764	0.351442821
765	0.3514395907
766	0.3514382095
767	0.351431477
768	0.3514302467
769	0.3514279222
770	0.3514269682
771	0.3514250477
772	0.3514239415
773	0.3514207296
774	0.351419457
775	0.3514177332
776	0.3514128803
777	0.351411192
778	0.351408862
779	0.3514076532
780	0.3514068178
781	0.3514040067
782	0.351401312
783	0.3514005889
784	0.3513947859
785	0.3513939553
786	0.3513931052
787	0.3513924065
788	0.3513903908
789	0.3513883358
790	0.351377438
791	0.3513729778
792	0.3513726486
793	0.3513705301
794	0.3513699505
795	0.3513668509
796	0.3513613915
797	0.351359799
798	0.3513538343
799	0.3513488333
800	0.351347822
801	0.3513448562
802	0.3513434879
803	0.3513417573
804	0.3513407723
805	0.3513397971
806	0.351339511
807	0.3513384935
808	0.3513369424
809	0.3513357828
810	0.3513354644
811	0.351331312
812	0.3513306786
813	0.3513289912
814	0.3513250498
815	0.3513232704
816	0.3513216329
817	0.3513203575
818	0.3513192464
819	0.3513137567
820	0.351312381
821	0.3513112201
822	0.3513072968
823	0.3513055846
824	0.3513042056
825	0.3513003734
826	0.3512989655
827	0.3512944982
828	0.3512920568
829	0.3512911592
830	0.3512894289
831	0.3512888165
832	0.3512884015
833	0.351287369
834	0.3512825361
835	0.3512816403
836	0.3512781783
837	0.3512740943
838	0.3512719848
839	0.3512712249
840	0.3512666057
841	0.3512648351
842	0.3512637581
843	0.3512631111
844	0.3512625727
845	0.3512610433
846	0.3512600077
847	0.3512591636
848	0.351256637
849	0.3512565322
850	0.3512547928
851	0.3512503844
852	0.3512496438
853	0.3512488987
854	0.3512478234
855	0.3512436413
856	0.3512432755
857	0.351243044
858	0.3512424278
859	0.3512415793
860	0.3512396836
861	0.3512378843
862	0.3512364082
863	0.3512357307
864	0.3512316298
865	0.3512234954
866	0.3512231553
867	0.3512228297
868	0.3512181909
869	0.3512174601
870	0.3512173709
871	0.351211861
872	0.3512083844
873	0.3512068358
874	0.3512064726
875	0.35120342
876	0.3512028566
877	0.3512018965
878	0.351200616
879	0.3511992752
880	0.3511918845
881	0.3511889673
882	0.3511818896
883	0.3511817067
884	0.3511810293
885	0.3511798273
886	0.3511785987
887	0.3511751243
888	0.3511730874
889	0.3511717615
890	0.3511713256
891	0.3511702777
892	0.3511696906
893	0.3511674745
894	0.3511673619
895	0.3511667297
896	0.3511653426
897	0.3511652059
898	0.3511641482
899	0.3511628203
900	0.3511621466
901	0.35115908
902	0.3511586146
903	0.351157092
904	0.351156558
905	0.3511557874
906	0.3511538599
907	0.351153653
908	0.3511524063
909	0.3511494863
910	0.3511491801
911	0.3511488737
912	0.3511487451
913	0.3511473167
914	0.3511471972
915	0.3511468261
916	0.3511440055
917	0.351142817
918	0.3511391693
919	0.3511356875
920	0.3511349123
921	0.3511322497
922	0.3511318227
923	0.3511297092
924	0.351128403
925	0.3511270083
926	0.3511268288
927	0.3511243714
928	0.351123799
929	0.351119682
930	0.3511187935
931	0.351118471
932	0.3511159387
933	0.3511156959
934	0.3511150624
935	0.3511144612
936	0.3511134214
937	0.3511128983
938	0.3511120251
939	0.3511114111
940	0.3511089495
941	0.3511080902
942	0.3511072897
943	0.3511046539
944	0.3511036786
945	0.3511032056
946	0.3511027378
947	0.3511012066
948	0.3511009324
949	0.3510998551
950	0.3510989319
951	0.3510978174
952	0.3510974092
953	0.3510969983
954	0.3510966679
955	0.3510962821
956	0.3510906219
957	0.3510903013
958	0.3510892869
959	0.3510890782
960	0.3510883381
961	0.3510829301
962	0.3510825459
963	0.3510821642
964	0.3510798205
965	0.3510776319
966	0.3510773252
967	0.3510764606
968	0.3510757695
969	0.3510749519
970	0.3510741616
971	0.351073871
972	0.351071783
973	0.3510666238
974	0.3510654714
975	0.3510650855
976	0.3510629768
977	0.3510614703
978	0.351060507
979	0.3510600867
980	0.3510578493
981	0.3510574497
982	0.3510572474
983	0.3510568297
984	0.3510558911
985	0.3510539633
986	0.3510520043
987	0.3510512132
988	0.3510500588
989	0.3510479375
990	0.3510457011
991	0.3510452812
992	0.3510444276
993	0.3510440355
994	0.3510420023
995	0.3510402269
996	0.3510395284
997	0.351038968
998	0.3510385703
999	0.3510379648
